"id","pmid","nam","des","syn","mol","form","iup","smi","pdb","kegg","hmdb","mp","ws","db","rec","ref"
"20203","128251","19-norandrosterone","major metabolite of 19-nortestosterone; RN given refers to cpd without  isomeric designation","19-Norandrosterone 19-Noreoiandrosterone 19-Noretiocholanolone 3-Hydroxyestran-17-one Estran-17-one; 3-hydroxy-","276.41","C18H28O2","(8R;9R;10S;13S;14S)-3-hydroxy-13-methyl-2;3;4;5;6;7;8;9;10;11;12;14;15;16-tetradecahydro-1H-cyclopenta[a]phenanthren-17-one","CC12CCC3C4CCC(CC4CCC3C1CCC2=O)O","NA","NA","HMDB0002697","NA","NA","NA","NA","HMDB"
"20204","159663","Androsterone sulfate","RN given refers to (3alpha;5alpha)-isomer","Andros-S  Androsterone sulfate Androsterone monosulfate  5alpha-Androsterone sulfate  Androsterone 3alpha-sulfate  Androsterone; hydrogen sulfate  3alpha-Sulfate-5alpha-androstan-17-one  5Alpha-andros","370.5","C19H30O5S","[(3R;5S;8R;9S;10S;13S;14S)-10;13-dimethyl-17-oxo-1;2;3;4;5;6;7;8;9;11;12;14;15;16-tetradecahydrocyclopenta[a]phenanthren-3-yl] hydrogensulfate","CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O","NA","C04555","HMDB0002759","NA","NA","NA","NA","HMDB"
"20205","160499","Cortolone","RN given refers to (3alpha;5beta;20S)-isomer","Cortolon  Cortolone 20alpha-Cortolone  20.alpha.-Cortolone  5beta-Pregnane-3alpha;17;20alpha;21-tetrol-11-one  3alpha;17alpha;20alpha;21-Tetrahydroxy-5beta-pregnan-11-one  5.beta.-Pregnane-3.alpha.;17","366.49","C21H34O5","(3R;5R;8S;9S;10S;13S;14S;17R)-17-[(1S)-1;2-dihydroxyethyl]-3;17-dihydroxy-10;13-dimethyl-2;3;4;5;6;7;8;9;12;14;15;16-dodecahydro-1H-cyclopenta[a]phenanthren-11-one","CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(CO)O)O)C)O","NA","C05481","HMDB0003128","NA","NA","NA","NA","HMDB"
"20206","161671","Withanolide D","structure","Withanolide D 5;6-Epoxy-4;20;22-trihydroxy-1-oxoergosta-2;24-dien-26-oic acid  delta-lactone (4beta;5beta;6beta;22R)-5;6-Epoxy-4;20;22-trihydroxy-1-oxoergosta-  2;24-dien-26-oic acid; delta-lactone","470.6","C28H38O6","NA","CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)O)C","NA","C08842","HMDB0003218","NA","NA","NA","NA","HMDB"
"20207","107835","17;20-dihydroxy-4-pregnen-3-one","a maturation-inducing hormone; possible role in regulation of  testosterone synthesis by rat and rabbit testis; see also record for  (20R)-isomer: 1662-06-2; RN given refers to all (alpha)-isomer;  structure","17alpha;20beta-DP 17a;20a-DHP 17;10beta-P  17;20beta-P 17;20-Dihydroxy-4-pregnen-3-one 17;20beta-Dihydroxy-4-pregnen-3-one 17;21-Dihydroxypregn-4-en-3-one  17alpha;20alpha-Dihydroxyprogesterone","332.48","C21H32O3","(8R;9S;10R;13S;14S;17S)-17-hydroxy-17-(2-hydroxyethyl)-10;13-dimethyl-2;6;7;8;9;11;12;14;15;16-decahydro-1H-cyclopenta[a]phenanthren-3-one","CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(CCO)O)C","NA","NA","HMDB0003851","NA","NA","NA","NA","HMDB"
"20208","91498","Cholestane-3;5;6-triol","structure; RN given refers to cpd without isomeric designation","5alpha;6beta-Dihydroxycholestanol 3beta;5alpha;6beta-Cholestanetriol  Cholesta-3beta;5alpha;6beta-triol  5-alpha;6-beta-Dihydroxycholestanol  3beta;5alpha;6beta-Trihydroxycholestane","420.67","C27H48O3","(3S;5R;6R;8S;9S;10R;13R;14S;17R)-10;13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-1;2;3;4;6;7;8;9;11;12;14;15;16;17-tetradecahydrocyclopenta[a]phenanthrene-3;5;6-triol","CC(C)CCCC(C)C1CCC2C1(CCC3C2CC(C4(C3(CCC(C4)O)C)O)O)C","NA","C05425","HMDB0003990","NA","NA","NA","NA","HMDB"
"20209","4337864","5a-Androst-3-en-17-one","NA","NA","272.43","C19H28O","10;13-dimethyl-1;2;3;4;5;6;7;8;9;11;12;16-dodecahydrocyclopenta[a]phenanthren-17-one","CC12CCCCC1CCC3C2CCC4(C3=CCC4=O)C","NA","NA","HMDB0006046","NA","NA","NA","NA","HMDB"
"20210","65094","25-hydroxycholesterol","structure; RN given refers to cpd without isomeric designation","25-Hydroxycholesterol 5-Cholestene-3beta;25-diol Cholest-5-ene-3beta;25-diol  cholest-5-en-3beta;25-diol  25-Hydroxycholest-5-en-3-ol","402.65","C27H46O2","(3S;8S;9S;10R;13R;14S;17R)-17-[(2R)-6-hydroxy-6-methylheptan-2-yl]-10;13-dimethyl-2;3;4;7;8;9;11;12;14;15;16;17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","1ZHX","C15519","HMDB0006247","NA","NA","NA","NA","HMDB"
"20211","65543","6 beta-hydroxytestosterone","NA","NA","304.42","C19H28O3","(6R;8R;9S;10R;13S;14S;17S)-6;17-dihydroxy-10;13-dimethyl-1;2;6;7;8;9;11;12;14;15;16;17-dodecahydrocyclopenta[a]phenanthren-3-one","CC12CCC3C(C1CCC2O)CC(C4=CC(=O)CCC34C)O","NA","C14497","HMDB0006259","NA","NA","NA","NA","HMDB"
"20212","NA","5a-Dihydrotestosterone sulfate","Dihydrotestosterone (DHT) is a steroid similar to testosterone and androstenedione; that belongs to a class called androgens. DHT is a C19 steroid and possesses androgenic activity. Androgen production takes place mainly in the Leydig cells of the testes. Androgens circulate in the blood bound to pr","NA#5alpha-Dihydrotestosterone sulfate","370.5","C19H30O5S","NA","CC12CCC(=O)CC1CCC1C3CCC(OS(O)(=O)=O)C3(C)CCC21","NA","NA","HMDB0006278","NA","NA","NA","NA","HMDB"
"20213","440985","Cholest-5-ene-3;7;27-triol","NA","NA","418.65","C27H46O3","(3S;7S;8S;9S;10R;13R;14S;17R)-17-[(2R)-7-hydroxy-6-methylheptan-2-yl]-10;13-dimethyl-2;3;4;7;8;9;11;12;14;15;16;17-dodecahydro-1H-cyclopenta[a]phenanthrene-3;7-diol","CC(CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C)CO","NA","C06341","HMDB0006281","NA","NA","NA","NA","HMDB"
"20214","NA","Calcitroic acid (D3)","Calcitroic acid (1 alpha-hydroxy-23 carboxy-24;25;26;27-tetranorvitamin D(3)) is a metabolite of 1 alpha; 25-dihydroxyvitamin D(3) (calcitriol). It is soluble in water; and is excreted in urine. This deactivation process involves a series of oxidation reactions at C24 and C23 leading to side-chain c","1a-Hydroxycalcioic acid#Calcitroic acid (D3)#(3R)-3-[(1R;3aR;4E;7aR)- 4-[(2Z)-2-[(3R;5R)-3;5- Dihydroxy-2-methylene-cyclohexylidene]ethylidene] -7a-methyl-2;3;3a;5;6;7-hexahydro-1H -inden-1-yl]butanoi","374.51","C23H34O4","1;3-dihydroxy-(1a;3b;5Z;7E)-24-nor-9;10-secochola-5;7;10(19)-trien-23-oic acid","CC(CC(O)=O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1=C","NA","NA","HMDB0006472","NA","NA","NA","NA","HMDB"
"20215","5281327","Brassicasterol","NA","NA","398.66","C28H46O","(3S;8S;9S;10R;13R;14S;17R)-17-[(E;2R;5R)-5;6-dimethylhept-3-en-2-yl]-10;13-dimethyl-2;3;4;7;8;9;11;12;14;15;16;17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","NA","C08813","HMDB0011181","NA","NA","NA","NA","HMDB"
"20216","12444612","3b-Allotetrahydrocortisol","NA","NA","366.49","C21H34O5","2-hydroxy-1-[(3S;5S;8S;9S;10S;11S;13S;14S;17R)-3;11;17-trihydroxy-10;13-dimethyl-1;2;3;4;5;6;7;8;9;11;12;14;15;16-tetradecahydrocyclopenta[a]phenanthren-17-yl]ethanone","CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O)O","NA","NA","HMDB0000314","NA","NA","NA","NA","HMDB"
"20217","440625","16alpha-Hydroxyestrone","NA","16alpha-Hydroxyestrone  3;16alpha-dihydroxy-estra-1;3;5(10)-trien-17-one","286.37","C18H22O3","(8S;9R;13S;14R;16R)-3;16-dihydroxy-13-methyl-7;8;9;11;12;14;15;16-octahydro-6H-cyclopenta[a]phenanthren-17-one","CC12CCC3C(C1CC(C2=O)O)CCC4=C3C=CC(=C4)O","NA","C05300","HMDB0000335","NA","NA","NA","NA","HMDB"
"20218","440623","2-hydroxyestrone","catechol estrogen which is a major metabolite of estradiol in man and  animals; RN given refers to parent cpd","Catecholestrone  2-hydroxyestrone  2;3-Dihydroxyestra-1;3;5(10)-trien-17-one  2;3-dihydroxy-estra-1;3;5(10)-trien-17-one  Estra-1;3;5(10)-trien-17-one; 2;3-dihydroxy-","286.37","C18H22O3","(8R;9S;13S;14S)-2;3-dihydroxy-13-methyl-7;8;9;11;12;14;15;16-octahydro-6H-cyclopenta[a]phenanthren-17-one","CC12CCC3C(C1CCC2=O)CCC4=CC(=C(C=C34)O)O","NA","C05298","HMDB0000343","NA","NA","NA","NA","HMDB"
"20219","1809154","2-Methoxyestradiol-3-methylether","NA","NA","395.23","C20H28O3","(5Z)-5-[(6-bromo-1;3-benzodioxol-5-yl)methylidene]-1-prop-2-enyl-2-sulfanylidene-1;3-diazinane-4;6-dione","C=CCN1C(=O)C(=CC2=CC3=C(C=C2Br)OCO3)C(=O)NC1=S","NA","NA","HMDB0000344","NA","NA","NA","NA","HMDB"
"20220","441302","Epiandrosterone","A metabolite of TESTOSTERONE or ANDROSTENEDIONE with a  3-alpha-hydroxyl group and without the double bond. The 3-beta  hydroxyl isomer is epiandrosterone.","Isoandrosterone  EPIANDROSTERONE Androsterone  epi-Androsterone  trans-Androsterone","290.44","C19H30O2","(3S;5S;8R;9S;10S;13S;14S)-3-hydroxy-10;13-dimethyl-1;2;3;4;5;6;7;8;9;11;12;14;15;16-tetradecahydrocyclopenta[a]phenanthren-17-one","CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O","1OV4;2QP3;2QP4","C07635","HMDB0000365","NA","NA","NA","NA","Pubchem; HMDB"
"20221","246876","16-ketoestrone","structure","16-Ketoestrone 16-Oxoestrone 3-Hydroxy-1;3;5(10)-estratriene-16;17-dione Estra-1;3;5(10)-triene-16;17-dione; 3-hydroxy-","284.35","C18H20O3","(8R;9S;13S;14S)-3-hydroxy-13-methyl-6;7;8;9;11;12;14;15-octahydrocyclopenta[a]phenanthrene-16;17-dione","CC12CCC3C(C1CC(=O)C2=O)CCC4=C3C=CC(=C4)O","NA","C14441","HMDB0000372","NA","NA","NA","NA","HMDB"
"20222","627448","2-Hydroxyestradiol-3-methylether","NA","3-Methoxyestra-1;3;5(10)-triene-4;17-diol  Estra-1;3;5(10)-triene-4;17-diol; 3-methoxy-; (17.beta.)-","302.41","C19H26O3","3-methoxy-13-methyl-6;7;8;9;11;12;14;15;16;17-decahydrocyclopenta[a]phenanthrene-4;17-diol","CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4O)OC","NA","NA","HMDB0000380","NA","NA","NA","NA","HMDB"
"20223","66417","16-ketoestradiol","RN given refers to (17beta)-isomer","16-Ketoestradiol 16-Oxoestradiol 16-ketoestradiol  16-Oxo-17beta-estradiol  Estra-1;3;5(10)-triene-3beta;17beta-diol-16-one  (17beta)-3;17-dihydroxyestra-1(10);2;4-trien-16-one","286.37","C18H22O3","(8R;9S;13S;14S;17R)-3;17-dihydroxy-13-methyl-7;8;9;11;12;14;15;17-octahydro-6H-cyclopenta[a]phenanthren-16-one","CC12CCC3C(C1CC(=O)C2O)CCC4=C3C=CC(=C4)O","NA","C14383","HMDB0000406","NA","NA","NA","NA","HMDB"
"20224","9857253","3b;17a-Dihydroxy-5a-androstane","NA","NA","292.46","C19H32O2","(3S;5R;8R;9S;10S;13S;14S;17R)-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;17-diol","CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O","NA","NA","HMDB0000412","NA","NA","NA","NA","HMDB"
"20225","6743","Stigmastanol","saturated analog of beta-sitosterol; RN given refers to  (3beta;5alpha)-isomer","Fucostanol  Spinastanol  Dihydrositosterin  sitostanol stigmastanol  STIGMASTANOL stigmastanol  beta-Sitostanol Dihydrositosterol 24alpha-Ethylcholestanol  Stigmastane-3-beta-ol  beta-Sitosterol; dihy","416.72","C29H52O","17-(5-ethyl-6-methylheptan-2-yl)-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-ol","CCC(CCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)C(C)C","NA","C00001","HMDB0000494","9.73","NA","NA","NA","HMDB"
"20226","5202","Serotonin","A biochemical messenger and regulator; synthesized from the essential  amino acid L-TRYPTOPHAN. In humans it is found primarily in the  central nervous system; gastrointestinal tract; and blood platelets.  Serotonin mediates several important physiological functions including  neurotransmission; gas","Serotonin  Enteramine Serotonine  Thrombocytin  Thrombotonin  Antemoqua  Antemovis  Hippophain","176.22","C10H12N2O","3-(2-aminoethyl)-1H-indol-5-ol","C1=CC2=C(C=C1O)C(=CN2)CCN","2QEH;3BRN","C00780","HMDB0000259","167.5","2.00E+04mg/ml","NA","P47898; Q13639; P28335; P28223; P46098; P18089; P08913","Endonet"
"20227","134494","5-Androstane-3alpha;17beta-diol","NA","5-Androstane-3alpha;17beta-diol  3alpha;17beta-Dihydroxyetiocholane  5beta-Androstane-3alpha;17beta-diol  (3alpha;5beta;17beta)-androstane-3;17-diol  ; (3alpha;5beta;17beta)-","292.46","C19H32O2","(3R;5R;8R;9S;10S;13S;14S;17S)-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;17-diol","CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O","NA","NA","HMDB0000551","NA","NA","NA","NA","HMDB"
"20228","5816","Epinephrine","The active sympathomimetic hormone from the adrenal medulla in most  species. It stimulates both the alpha- and beta- adrenergic systems;  causes systemic vasoconstriction and gastrointestinal relaxation;  stimulates the heart; and dilates bronchi and cerebral vessels. It is  used in asthma and card","epinephrine l-Adrenaline  adrenaline Adrenalin  Levoepinephrine  L-epinephrine  Adrenalinum  Epinephran  Epipen  l-Epirenamine","183.2","C9H13NO3","4-[(1R)-1-hydroxy-2-methylaminoethyl]benzene-1;2-diol","CNCC(C1=CC(=C(C=C1)O)O)O","NA","C00788; D00095","HMDB0000068","211.5","180mg/ml","DB00668","P08588; P35348; P07550","Endonet"
"20229","3034759","Tauroursodeoxycholic acid","RN given refers to (3alpha;5beta;7beta)-isomer","Ursodeoxycholyltaurine  Tauroursodeoxycholic acid TUDCA Tauroursodeoxycholic acid (6CI;7CI)  tauroursodeoxycholic acid; (3alpha;5alpha;7alpha)-isomer","499.7","C26H45NO6S","2-[[(4R)-4-[(3R;5S;7S;10S;13R;17R)-3;7-dihydroxy-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid","CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C","NA","NA","HMDB0000874","NA","NA","NA","NA","HMDB"
"20230","444679","Ergosterol","A steroid of interest both because its biosynthesis in FUNGI is a  target of ANTIFUNGAL AGENTS; notably AZOLES; and because when it is  present in SKIN of animals; ULTRAVIOLET RAYS break a bond to result in  ERGOCALCIFEROL.","Ergosterol  Provitamin D2  Ergosterin  5;7;22-Ergostatrien-3beta-ol","396.65","C28H44O","(3S;9S;10R;13R;14R;17R)-17-[(E;2R;5R)-5;6-dimethylhept-3-en-2-yl]-10;13-dimethyl-2;3;4;9;11;12;14;15;16;17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","1BXM","C01694","HMDB0000878","NA","NA","NA","NA","HMDB"
"20231","91475","Tetrahydrodeoxycorticosterone","RN given refers to (3alpha;5beta)-isomer","5alpha-THDOC THDOC Tetrahydrodeoxycorticosterone pregnane-3;21-diol-20-one 3;21-Dihydroxypregnan-20-one 3alpha;21-Dihydroxy-5beta-pregnan-20-one  5alpha-pregnan-3alpha;21-diol-20-one","334.49","C21H34O3","2-hydroxy-1-[(5R;8R;9S;10S;13S;14S;17S)-3-hydroxy-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone","CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)CO)C)O","NA","C13713","HMDB0000879","NA","NA","NA","A3F8U8; Q9GYU4; Q9ARY7; A6H6R7; Q0VEX8; Q14AH9; Q53WT3; Q543Z0; Q544F7; Q544G1; Q5SUU4; Q5SUU5; Q8BHM6; Q8C446; Q8C7N0; Q8CAB3; Q9JLE7; Q9JLE8; Q9JLE9","HMDB"
"20232","6438368","1;25-dihydroxyvitamin D3-26;23-lactone","NA","1;25-Lactone Calcitriol-26;23-lactone 1;25-dihydroxyvitaminD3-26;23-lactone  1;25-Dihydroxycholecalciferol-26-23-lactone 1alpha;25-Dihydroxyvitamin D3-26;23-lactone  23(S);25(R)-1;25(OH)2D3-26;23-Lact","444.6","C27H40O5","(3R;5S)-5-[(2R)-2-[(1R;3aS;4E;7aR)-4-[(2Z)-2-[(3S;5R)-3;5-dihydroxy-2-methylidenecyclohexylidene]ethylidene]-7a-methyl-2;3;3a;5;6;7-hexahydro-1H-inden-1-yl]propyl]-3-hydroxy-3-methyloxolan-2-one","CC(CC1CC(C(=O)O1)(C)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C","NA","NA","HMDB0000969","NA","NA","NA","Q9PTN2; Q1L673; Q28037; O42392; P49701; P11473; P48281; A3RGC1; P13053; Q95MH5; O13124; Q90WN9; Q90WS4","HMDB"
"20233","65728","Lathosterol","RN given refers to (3beta;5alpha)-isomer","Lathosterol gamma-Cholesterol  Cholesterin  7-Cholesten-3-beta-ol  delta(sup 7)-Cholestenol  5alpha-Cholest-7-en-3beta-ol  Cholest-7-en-3beta-ol  5-alpha-Cholest-7-en-3-beta-ol","386.65","C27H46O","(3S;5S;9R;10S;13R;14R;17R)-10;13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2;3;4;5;6;9;11;12;14;15;16;17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C","NA","C01189","HMDB0001170","NA","NA","NA","NA","HMDB"
"20234","140","Tetrahydroxynorbufostane","NA","Tetrahydroxynorbufostane  5-BETA-CHOLESTANE-3-ALPHA7-TETRAOL  5-beta-cholestane-3-alpha;7-alpha;12-alpha;26-tetraol","436.67","C27H48O4","17-(7-hydroxy-6-methylheptan-2-yl)-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;7;12-triol","CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO","NA","NA","HMDB0001231","NA","NA","NA","NA","HMDB"
"20235","246983","Lanosterol","A triterpene that derives from the chair-boat-chair-boat folding of  2;3-oxidosqualene. It is metabolized to CHOLESTEROL and  CUCURBITACINS.","Lanosterol  Lanosterin  Lanster  Botalan base 138  Lanosta-8;24-dienol  Lanosta-8;24-dien-3beta-ol  8;24-Lanostadien-3beta-ol","426.72","C30H50O","(3S;5R;10S;13R;14R;17R)-4;4;10;13;14-pentamethyl-17-[(2R)-6-methylhept-5-en-2-yl]-2;3;5;6;7;11;12;15;16;17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","CC(CCC=C(C)C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C","NA","C01724","HMDB0001251","NA","NA","NA","NA","HMDB"
"20236","5364803","25;26-dihydroxycholecalciferol","RN given refers to (3beta;5A;7E)-isomer","25;26-Dihydroxyvitamin D3 25;26-dihydroxycholecalciferol  9;10-Secocholesta-5;7;10(19)-triene-3.beta.;25;26-triol  9;10-Secocholesta-5;7;10(19)-triene-3;25;26-triol; (3beta;5Z;7E)-  9;10-Secocholesta-","416.64","C27H44O3","6-[(4E)-4-[(2E)-2-(5-hydroxy-2-methylidenecyclohexylidene)ethylidene]-7a-methyl-2;3;3a;5;6;7-hexahydro-1H-inden-1-yl]-2-methylheptane-1;2-diol","CC(CCCC(C)(CO)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C","NA","NA","HMDB0001420","NA","NA","NA","NA","HMDB"
"20237","160520","3;7;12-trihydroxycoprostane","intermediate in bile acid synthesis in liver; enhances rate of  porphyrin synthesis in cultured liver cells by induction of  delta-aminolevulinic acid synthetase; RN given refers to  (3alpha;5beta;7alpha;12alpha)-isomer; structure","Trihydroxycoprostane 3;7;12-Trihydroxycoprostane 5beta-Cholestane-3alpha;7alpha;12alpha-triol  3alpha;7alpha;12alpha-Trihydroxycoprostane  3alpha;7alpha;12alpha-Trihydroxy-5beta-cholestane","420.67","C27H48O3","(3R;5S;7R;8R;9S;10S;12S;13R;14S;17R)-10;13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;7;12-triol","CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C","NA","C05454","HMDB0001457","NA","NA","NA","NA","HMDB"
"20238","57363","Finasteride","An orally active TESTOSTERONE 5-ALPHA-REDUCTASE inhibitor. It is used  as a surgical alternative for treatment of benign prostatic  hyperplasia.","finasteride Propecia Proscar Chibro-Proscar Finastid  Prostide  Finpecia  Eucoprost Propeshia Andozac","372.54","C23H36N2O2","(1S;3aS;3bS;5aR;9aR;9bS;11aS)-N-tert-butyl-9a;11a-dimethyl-7-oxo-1;2;3;3a;3b;4;5;5a;6;9b;10;11-dodecahydroindeno[5;4-f]quinoline-1-carboxamide","CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C","NA","D00321","HMDB0001984","3.03","NA","DB01216","P10275","HMDB"
"20239","129846","Cholesta-5;8-dien-3 beta-ol","found in tissue of rats given AY 9944","8-Dehydrocholesterol cholesta-5;8-dien-3 beta-ol  (3beta)-Cholesta-5;8-dien-3-ol  Cholesta-5;8-dien-3-ol; (3beta)-","384.64","C27H44O","(3S;10S;13R;14R;17R)-10;13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2;3;4;7;11;12;14;15;16;17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","CC(C)CCCC(C)C1CCC2C1(CCC3=C2CC=C4C3(CCC(C4)O)C)C","NA","NA","HMDB0002027","NA","NA","NA","NA","HMDB"
"20240","196302","27-norcholestane-3;7;12;24;25;26-hexol","NA","27-Norcholestane-3;7;12;24;25;26-hexol 27-Nor-5beta-cholestane-3alpha;7alpha;12alpha;24alpha;24xi;25xi;26  -hexol  27-Norcholestane-3;7;12;24;25;26-hexol;  N-(N2-(1-(N-(N-(N-(N-(N-(N2-(N-glycyl-L-alph","454.64","C26H46O6","(3R;5S;7R;8R;9S;10S;12S;13R;14S;17R)-10;13-dimethyl-17-[(2R)-5;6;7-trihydroxyheptan-2-yl]-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;7;12-triol","CC(CCC(C(CO)O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C","NA","NA","HMDB0002157","NA","NA","NA","NA","HMDB"
"20241","5284194","5 beta-bufol","isolated from gall bladder of toad; identified in patients with  cerebrotendinous xanthomatosis","5beta-Bufol  Cholestane-3;7;12;25;26-pentol 5 beta-bufol  Cholestane-3;7;12;25;26-pentol; (3alpha;5beta;7alpha;12alpha)-  (VAN)  5 beta-bufol","452.67","C27H48O5","(3R;5S;7R;8R;9S;10S;12S;13R;14S;17R)-17-[(2R)-6;7-dihydroxy-6-methylheptan-2-yl]-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;7;12-triol","CC(CCCC(C)(CO)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C","NA","NA","HMDB0002180","NA","NA","NA","NA","HMDB"
"20242","6453659","Cholestane-3;7;12;24;25-pentol","NA","Cholestane-3;7;12;24;25-pentol  5-beta-Cholestane-3alpha;7alpha;12alpha;24beta;25-pentol  Cholestan-3;7;12;24;25-pentol; (3alpha;5beta;7alpha;12alpha;24S)-  cholestane-3;7;12;24;25-pentol","452.67","C27H48O5","(3R;5S;7R;8R;9S;10S;12S;13R;14S;17R)-17-[(2R;5S)-5;6-dihydroxy-6-methylheptan-2-yl]-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;7;12-triol","CC(CCC(C(C)(C)O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C","NA","NA","HMDB0002208","NA","NA","NA","NA","HMDB"
"20243","5281326","Fucosterol","major sterol of a marine sponge C. difussa; structure; RN given refers  to (3beta;24E)-isomer","Fucosterol Isofucosterol  delta5-Avenasterol  Stigmasta-5;24(28)-dien-3-ol; (3.beta.;24Z)-","412.69","C29H48O","(3S;8S;9S;10R;13R;14S;17R)-10;13-dimethyl-17-[(Z;2R)-5-propan-2-ylhept-5-en-2-yl]-2;3;4;7;8;9;11;12;14;15;16;17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C","NA","C08821","HMDB0002374","NA","NA","NA","NA","HMDB"
"20244","NA","(3a;5b)-24-oxo-24-[(2-sulfoethyl)amino]cholan-3-yl-b-D-Glucopyranosiduronic acid","(3a;5b)-24-oxo-24-[(2-sulfoethyl)amino]cholan-3-yl-b-D-Glucopyranosiduronic acid is a natural human metabolite of Taurolithocholic acid generated in the liver by UDP glucuonyltransferase.Glucuronidation is used to assist in the excretion of toxic substances; drugs or other substances that cannot be ","(3a;5b)-24-oxo-24-[(2-sulfoethyl)amino]cholan-3-yl-b-D-Glucopyranosiduronate#Taurolithocholic acid 3-glucuronide#(3a;5b)-24-oxo-24-[(2-sulfoethyl)amino]cholan-3-yl-beta-delta-Glucopyranosiduronate","659.83","C32H53NO11S","(3a;5b)-24-oxo-24-[(2-sulfoethyl)amino]cholan-3-yl b-D-glucopyranosiduronic acid","CC(CCC(=O)NCCS(O)(=O)=O)C1CCC2C3CCC4CC(CCC4(C)C3CCC12C)OC1OC(C(O)C(O)C1O)C(O)=O","NA","NA","HMDB0002429","NA","NA","NA","NA","HMDB"
